admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin3Name_en,admin3Name_ar,admin3RefName_en,admin3RefName_ar,admin3Pcode
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Dawran,?????,Dawran,?????,YE300932
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Imarah Al Olya,????? ??????,Imarah Al Olya,????? ??????,YE300922
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Imarah As Sufla,????? ??????,Imarah As Sufla,????? ??????,YE300921
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Otabah,?????,Otabah,?????,YE300926
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Zurbat Bani Abdallah,???? ??? ???????,Zurbat Bani Abdallah,???? ??? ???????,YE300927
Yemen,?????,YE,Ad Dali',??????,YE30,Ash Shu'ayb,??????,YE3004,Ash Shu'ayb,??????,Ash Shuayb - Ash Shuayb,?????? - ??????,YE300421
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Aal Abdallah,?? ???????,Aal Abdallah,?? ???????,YE300227
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Aal Amr,?? ???,Aal Amr,?? ???,YE300224
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Adh Dhahirah,???????,Adh Dhahirah,???????,YE300225
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Al Mathil,??????,Al Mathil,??????,YE300228
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Damt,???,Damt,???,YE300221
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Ghur Lahab,??? ???,Ghur Lahab,??? ???,YE300229
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Kannah,???,Kannah,???,YE300226
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Manqir,?????,Manqir,?????,YE300223
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Rakhmah,????,Rakhmah,????,YE300222
Yemen,?????,YE,Ad Dali',??????,YE30,Damt,???,YE3002,Rub' Al Himah,??? ?????,Rub Al Himah,??? ?????,YE300230
Yemen,?????,YE,Ad Dali',??????,YE30,Jahaf,????,YE3007,Jahaf,????,Jahaf,????,YE300721
Yemen,?????,YE,Ad Dali',??????,YE30,Juban,???,YE3001,Ad Dubiyaniyah,?????????,Ad Dubiyaniyah,?????????,YE300125
Yemen,?????,YE,Ad Dali',??????,YE30,Juban,???,YE3001,Al Awdyah,???????,Al Awdyah,???????,YE300123
Yemen,?????,YE,Ad Dali',??????,YE30,Juban,???,YE3001,Ar Rabi'tayn,?????????,Ar Rabitayn,?????????,YE300124
Yemen,?????,YE,Ad Dali',??????,YE30,Juban,???,YE3001,Hajaj,????,Hajaj,????,YE300126
Yemen,?????,YE,Ad Dali',??????,YE30,Juban,???,YE3001,Juban,???,Juban,???,YE300121
Yemen,?????,YE,Ad Dali',??????,YE30,Juban,???,YE3001,Na'wah,????,Nawah,????,YE300122
Yemen,?????,YE,Ad Dali',??????,YE30,Qa'tabah,?????,YE3003,Al A'shur,???????,Al Ashur,???????,YE300325
Yemen,?????,YE,Ad Dali',??????,YE30,Qa'tabah,?????,YE3003,Al Amriyah,???????,Al Amriyah,???????,YE300326
Yemen,?????,YE,Ad Dali',??????,YE30,Qa'tabah,?????,YE3003,Al Majanih,???????,Al Majanih,???????,YE300328
Yemen,?????,YE,Ad Dali',??????,YE30,Qa'tabah,?????,YE3003,Al Wahj,?????,Al Wahj,?????,YE300323
Yemen,?????,YE,Ad Dali',??????,YE30,Qa'tabah,?????,YE3003,Asaf Muris,???? ????,Asaf Muris,???? ????,YE300327
Yemen,?????,YE,Ad Dali',??????,YE30,Qa'tabah,?????,YE3003,Ash Sharnamah As Sufla,??????? ??????,Ash Sharnamah As Sufla,??????? ??????,YE300324
Yemen,?????,YE,Ad Dali',??????,YE30,Qa'tabah,?????,YE3003,Bilad Al Yubi,??????????,Bilad Al Yubi,??????????,YE300322
Yemen,?????,YE,Ad Dali',??????,YE30,Qa'tabah,?????,YE3003,Qa'tabah,?????,Qatabah,?????,YE300321
Yemen,?????,YE,Aden,???,YE24,Al Burayqah,???????,YE2404,Al Burayqah,???????,Al Burayqah,???????,YE240421
Yemen,?????,YE,Aden,???,YE24,Al Mansurah,????????,YE2403,Al Mansurah,????????,Al Mansurah,????????,YE240321
Yemen,?????,YE,Aden,???,YE24,Al Mu'alla,??????,YE2406,Al Mu'alla,??????,Al Mualla,??????,YE240621
Yemen,?????,YE,Aden,???,YE24,Ash Shaykh Othman,????? ?????,YE2402,Ash Shaykh Othman,????? ?????,Ash Shaykh Othman,????? ?????,YE240221
Yemen,?????,YE,Aden,???,YE24,At Tawahi,???????,YE2405,At Tawahi,???????,At Tawahi,???????,YE240521
Yemen,?????,YE,Aden,???,YE24,Dar Sa'd,??? ???,YE2401,Dar Sa'd,??? ???,Dar Sad,??? ???,YE240121
Yemen,?????,YE,Aden,???,YE24,Khur Maksar,??? ????,YE2408,Khur Maksar,??? ????,Khur Maksar,??? ????,YE240821
Yemen,?????,YE,Aden,???,YE24,Kritar - Sirah,????,YE2407,Sirah,????,Sirah,????,YE240721
Yemen,?????,YE,Al Bayda,???????,YE14,Al Arsh,?????,YE1416,Al Arsh,?????,Al Arsh - Al Arsh,????? - ?????,YE141621
Yemen,?????,YE,Al Bayda,???????,YE14,Al Arsh,?????,YE1416,Al Lama'an,???????,Al Lamaan,???????,YE141622
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,Aal Al Labani,?? ??????,Aal Al Labani,?? ??????,YE141023
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,Aal Hassis,?? ????,Aal Hassis,?? ????,YE141028
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,Aal Mudhaffar Al A'la,?? ??????????,Aal Mudhaffar Al Ala,?? ??????????,YE141021
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,Aal Mudhaffar Al Asfal,?? ??????????,Aal Mudhaffar Al Asfal,?? ??????????,YE141029
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,Ad Dahaki,???????,Ad Dahaki,???????,YE141027
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,Al Ayuf,??????,Al Ayuf,??????,YE141026
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,Al Hijrah,??????,Al Hijrah - Al Bayda,?????? - ???????,YE141025
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,As Sawda'a wa Aal Isa Wahi,??????? ??? ???? ???,As Sawdaa wa Aal Isa Wahi,??????? ??? ???? ???,YE141030
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,Ash Sharaf,?????,Ash Sharaf - Al Bayda,????? - ???????,YE141022
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda,???????,YE1410,Midhwiqin,??????,Midhwiqin,??????,YE141024
Yemen,?????,YE,Al Bayda,???????,YE14,Al Bayda City,????? ???????,YE1409,Al Bayda,???????,Al Bayda,???????,YE140921
Yemen,?????,YE,Al Bayda,???????,YE14,Al Malajim,???????,YE1420,Aal Ghasham Al Malajim,?? ???? ???????,Aal Ghasham Al Malajim,?? ???? ???????,YE142022
Yemen,?????,YE,Al Bayda,???????,YE14,Al Malajim,???????,YE1420,Aal Mansur Al Malajim,?? ????? ???????,Aal Mansur Al Malajim,?? ????? ???????,YE142021
Yemen,?????,YE,Al Bayda,???????,YE14,Al Malajim,???????,YE1420,Afar Aal Miftah,???? ?? ?????,Afar Aal Miftah,???? ?? ?????,YE142023
Yemen,?????,YE,Al Bayda,???????,YE14,Al Malajim,???????,YE1420,Ar Rashdah,??????,Ar Rashdah - Al Malajim,?????? - ???????,YE142025
Yemen,?????,YE,Al Bayda,???????,YE14,Al Malajim,???????,YE1420,Dhi Khirah,?? ???,Dhi Khirah,?? ???,YE142024
Yemen,?????,YE,Al Bayda,???????,YE14,Al Quraishyah,????????,YE1414,Qayfat Aal Mahn Al Jawf,???? ?? ??? ?????,Qayfat Aal Mahn Al Jawf,???? ?? ??? ?????,YE141423
Yemen,?????,YE,Al Bayda,???????,YE14,Al Quraishyah,????????,YE1414,Qayfat Aal Mahn Lidhahruh,???? ?? ??? ?????,Qayfat Aal Mahn Lidhahruh,???? ?? ??? ?????,YE141422
Yemen,?????,YE,Al Bayda,???????,YE14,Al Quraishyah,????????,YE1414,Qayfat Aal Mahn Yazid,???? ?? ??? ????,Qayfat Aal Mahn Yazid,???? ?? ??? ????,YE141421
Yemen,?????,YE,Al Bayda,???????,YE14,Ar Ryashyyah,????????,YE1418,Jabal Ar Ryashyyah,??? ????????,Jabal Ar Ryashyyah,??? ????????,YE141821
Yemen,?????,YE,Al Bayda,???????,YE14,Ar Ryashyyah,????????,YE1418,Thumn Ar Ryashyyah,??? ????????,Thumn Ar Ryashyyah,??? ????????,YE141822
Yemen,?????,YE,Al Bayda,???????,YE14,Ar Ryashyyah,????????,YE1418,Wadi Ar Ryashyyah,???? ????????,Wadi Ar Ryashyyah,???? ????????,YE141823
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawadiyah,????????,YE1411,Aal As Sadah,?? ??????,Aal As Sadah,?? ??????,YE141122
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawadiyah,????????,YE1411,Aal Hadi Bani Wahb,?? ???? ??? ???,Aal Hadi Bani Wahb,?? ???? ??? ???,YE141126
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawadiyah,????????,YE1411,Aal Hasan,?? ???,Aal Hasan,?? ???,YE141121
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawadiyah,????????,YE1411,Aal Mansur Bani Wahb,?? ????? ??? ???,Aal Mansur Bani Wahb,?? ????? ??? ???,YE141127
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawadiyah,????????,YE1411,Al Haratik,????????,Al Haratik,????????,YE141123
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawadiyah,????????,YE1411,At Tahiriah,????????,At Tahiriah,????????,YE141125
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawadiyah,????????,YE1411,Dhahibah,?????,Dhahibah,?????,YE141124
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Aal Al Yahwi,?? ??????,Aal Al Yahwi,?? ??????,YE140429
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Aal Ath Thuraya'a,?? ???????,Aal Ath Thurayaa,?? ???????,YE140430
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Aal Obayd,?? ????,Aal Obayd,?? ????,YE140427
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Aal Sa'id,?? ????,Aal Said,?? ????,YE140423
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Al Arwin,???????,Al Arwin,???????,YE140426
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Al Farawi (Dhi Misnam),??????(?? ?????),Al Farawi (Dhi Misnam),??????(?? ?????),YE140421
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Al Jirw,?????,Al Jirw,?????,YE140424
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Al Muhamadin,????????,Al Muhamadin,????????,YE140425
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Al Qayssin,???????,Al Qayssin,???????,YE140432
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Ar Radmani,????????,Ar Radmani,????????,YE140431
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,As Sawma'ah,???????,As Sawmaah,???????,YE140428
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Oqlat Bani Amir,???? ??? ????,Oqlat Bani Amir,???? ??? ????,YE140422
Yemen,?????,YE,Al Bayda,???????,YE14,As Sawma'ah,???????,YE1404,Owayn,????,Owayn,????,YE140433
Yemen,?????,YE,Al Bayda,???????,YE14,Ash Sharyah,??????,YE1419,Aal Ghunim,?? ????,Aal Ghunim,?? ????,YE141921
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Aal Abdallah wa Aal Hisham,?? ??? ???? ??? ????,Aal Abdallah wa Aal Hisham,?? ??? ???? ??? ????,YE140723
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Aal Hayash,?? ????,Aal Hayash,?? ????,YE140724
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Adh Dhufrin,???????,Adh Dhufrin,???????,YE140721
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Al Kharbah,??????,Al Kharbah,??????,YE140728
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Al Masahirah,????????,Al Masahirah,????????,YE140730
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Al Masha'rah,????????,Al Masharah,????????,YE140722
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Al Qahabah,???????,Al Qahabah,???????,YE140727
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Al Qawim,??????,Al Qawim - At Taffah,?????? - ?????,YE140729
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,As Sa'idyah,????????,As Saidyah,????????,YE140726
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Bani Ghaylan,??? ?????,Bani Ghaylan,??? ?????,YE140731
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Sannah,???,Sannah,???,YE140725
Yemen,?????,YE,Al Bayda,???????,YE14,At Taffah,?????,YE1407,Thamnan,?????,Thamnan,?????,YE140732
Yemen,?????,YE,Al Bayda,???????,YE14,Az Zahir,??????,YE1405,Aal Barman,?? ?????,Aal Barman,?? ?????,YE140522
Yemen,?????,YE,Al Bayda,???????,YE14,Az Zahir,??????,YE1405,Al Habj,?????,Al Habj,?????,YE140524
Yemen,?????,YE,Al Bayda,???????,YE14,Az Zahir,??????,YE1405,An Nasifah,???????,An Nasifah - Az Zahir,??????? - ??????,YE140523
Yemen,?????,YE,Al Bayda,???????,YE14,Az Zahir,??????,YE1405,Az Zahir,??????,Az Zahir - Az Zahir,?????? - ??????,YE140521
Yemen,?????,YE,Al Bayda,???????,YE14,Az Zahir,??????,YE1405,Qurbah,????,Qurbah,????,YE140525
Yemen,?????,YE,Al Bayda,???????,YE14,Dhi Na'im,?? ????,YE1406,Ad Duri'a,???????,Ad Duria,???????,YE140622
Yemen,?????,YE,Al Bayda,???????,YE14,Dhi Na'im,?? ????,YE1406,Al Haykal,??????,Al Haykal,??????,YE140625
Yemen,?????,YE,Al Bayda,???????,YE14,Dhi Na'im,?? ????,YE1406,Al Munqati',???????,Al Munqati,???????,YE140621
Yemen,?????,YE,Al Bayda,???????,YE14,Dhi Na'im,?? ????,YE1406,Ar Ribat,??????,Ar Ribat,??????,YE140624
Yemen,?????,YE,Al Bayda,???????,YE14,Dhi Na'im,?? ????,YE1406,Dhamjir,?????,Dhamjir,?????,YE140623
Yemen,?????,YE,Al Bayda,???????,YE14,Dhi Na'im,?? ????,YE1406,Tayab,????,Tayab,????,YE140626
Yemen,?????,YE,Al Bayda,???????,YE14,Maswarah,?????,YE1403,At Tarthur,???????,At Tarthur,???????,YE140324
Yemen,?????,YE,Al Bayda,???????,YE14,Maswarah,?????,YE1403,Bayhan,????? ??????,Bayhan,????? ??????,YE140326
Yemen,?????,YE,Al Bayda,???????,YE14,Maswarah,?????,YE1403,Damajj,????,Damajj,????,YE140323
Yemen,?????,YE,Al Bayda,???????,YE14,Maswarah,?????,YE1403,Dathran Aal Alawi,????? ?? ????,Dathran Aal Alawi,????? ?? ????,YE140322
Yemen,?????,YE,Al Bayda,???????,YE14,Maswarah,?????,YE1403,Maswarah,?????,Maswarah,?????,YE140321
Yemen,?????,YE,Al Bayda,???????,YE14,Maswarah,?????,YE1403,Sha'yan,?????,Shayan,?????,YE140325
Yemen,?????,YE,Al Bayda,???????,YE14,Mukayras,??????,YE1408,Mukayras,??????,Mukayras,??????,YE140821
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Aal Faraj,?? ???,Aal Faraj,?? ???,YE140226
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Aal Mansur,?? ?????,Aal Mansur - Nati,?? ????? - ????,YE140224
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Aal Sudan,?? ?????,Aal Sudan,?? ?????,YE140221
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Ad Du'imah,???????,Ad Duimah,???????,YE140223
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Al Ghaylah,??????,Al Ghaylah,??????,YE140225
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Al Hasa'a,??????,Al Hasaa,??????,YE140232
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Barmad,??????,Barmad,??????,YE140230
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Dhimasnumah,???????,Dhimasnumah,???????,YE140231
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Maswar Aal Dabash,???? ?? ????,Maswar Aal Dabash,???? ?? ????,YE140229
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Raymah,????,Raymah,????,YE140227
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Wa'lah Aal Riqab,???? ?? ????,Walah Aal Riqab,???? ?? ????,YE140222
Yemen,?????,YE,Al Bayda,???????,YE14,Nati',????,YE1402,Wahlan,?????,Wahlan,?????,YE140228
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,Al Badi',??????,Al Badi,??????,YE140125
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,Al Ghul,?????,Al Ghul,?????,YE140121
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,Al Jadir,??????,Al Jadir,??????,YE140124
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,Al lakhaf,?????,Al lakhaf,?????,YE140129
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,Al Mirhad,???????,Al Mirhad,???????,YE140128
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,Al Wasat,?????,Al Wasat - Numan,????? - ?????,YE140126
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,Ar Rahabah,??????,Ar Rahabah,??????,YE140122
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,As Sahah,??????,As Sahah,??????,YE140130
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,Hajra'a,?????,Hajraa,?????,YE140127
Yemen,?????,YE,Al Bayda,???????,YE14,Nu'man,?????,YE1401,Hasir Al Jar,???? ?????,Hasir Al Jar,???? ?????,YE140123
Yemen,?????,YE,Al Bayda,???????,YE14,Rada',????,YE1413,Rada',????,Rada,????,YE141321
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Aal Amir,?? ????,Aal Amir,?? ????,YE141230
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Aal Buqsh,?? ???,Aal Buqsh,?? ???,YE141228
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Al Aghwal Al Olya,??????? ???????,Al Aghwal Al Olya,??????? ???????,YE141224
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Al Aghwal As Sufla,??????? ??????,Al Aghwal As Sufla,??????? ??????,YE141226
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Al Amir Hawran,?? ???? ?????,Al Amir Hawran,?? ???? ?????,YE141227
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Al Muryah Bani Mur,?????? ??? ??,Al Muryah Bani Mur,?????? ??? ??,YE141221
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Faqa' Aal Awad,???? ?? ???,Faqa Aal Awad,???? ?? ???,YE141223
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Ghul Sulayman,??? ??????,Ghul Sulayman,??? ??????,YE141222
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Qaniyah,?????,Qaniyah - Radman,????? - ?????,YE141225
Yemen,?????,YE,Al Bayda,???????,YE14,Radman,?????,YE1412,Radman Aal Awad,????? ?? ???,Radman Aal Awad,????? ?? ???,YE141229
Yemen,?????,YE,Al Bayda,???????,YE14,Sabah,????,YE1417,Sabah,????,Sabah,????,YE141721
Yemen,?????,YE,Al Bayda,???????,YE14,Wald Rabi',???????,YE1415,Qayfat Aal Mahdi,???? ?? ????,Qayfat Aal Mahdi,???? ?? ????,YE141521
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Dohi,?????,YE1809,Al Jarabih Al Olya,??????? ??????,Al Jarabih Al Olya,??????? ??????,YE180922
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Dohi,?????,YE1809,Al Jarabih As Sufla,??????? ??????,Al Jarabih As Sufla,??????? ??????,YE180921
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Ad Durayhimi,????????,Ad Durayhimi - Ad Durayhimi,???????? - ????????,YE181421
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Ad Durayhimi,????????,Ad Durayhimi - Ad Durayhimi,???????? - ????????,YE181430
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Al Jahbah Al Olya,?????? ??????,Al Jahbah Al Olya,?????? ??????,YE181427
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Al Jahbah As Sufla,????????????,Al Jahbah As Sufla,????????????,YE181429
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Al Maghalisah,????????,Al Maghalisah,????????,YE181425
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Al Manafirah,????????,Al Manafirah,????????,YE181422
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Al Masa'id,????????,Al Masaid,????????,YE181424
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Al Mashaqinah,????????,Al Mashaqinah,????????,YE181423
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Ash Sha'b Island,????? ?????,Ash Shab Island,????? ?????,YE181431
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Az Zaraniq,????????,Az Zaraniq,????????,YE181428
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Bani Musa,??? ????,Bani Musa - Ad Durayhimi,??? ???? - ????????,YE181426
Yemen,?????,YE,Al Hodeidah,???????,YE18,Ad Durayhimi,????????,YE1814,Hajraa Island,????? ????,Hajraa Island,????? ????,YE181432
Yemen,?????,YE,Al Hodeidah,???????,YE18,Al Hali,??????,YE1823,Al Hodeidah,???????,Al Hodeidah - Al Hali,??????? - ??????,YE182321
Yemen,?????,YE,Al Hodeidah,???????,YE18,Al Hawak,?????,YE1821,Al Hawak,?????,Al Hawak,?????,YE182121
Yemen,?????,YE,Al Hodeidah,???????,YE18,Al Hujjaylah,???????,YE1811,Al Qit'ah Al Olya,?????? ??????,Al Qitah Al Olya,?????? ??????,YE181121
Yemen,?????,YE,Al Hodeidah,???????,YE18,Al Hujjaylah,???????,YE1811,Al Qit'ah As Sufla,?????? ??????,Al Qitah As Sufla,?????? ??????,YE181122
